
Rank,Company,System Sales (Millions),2023 Average Sales Per Unit (Thousands),2023 Franchise/License Units,2023 Company Units,2023 Total Units,Total Change in Units from 2022
1,MCDONALD'S,53135,4001,12772,685,13457,13
26,CULVER'S,3000,3487,937,7,944,52
2,STARBUCKS,28700,1820,6701,9645,16346,473
27,FIVE GUYS,2626,11811,890,594,1484,67
3,CHICK-FIL-A,21586,7450,2494,58,2552,141
28,JIMMY JOHN'S,2551,936,2604,40,2644,7
4,TACO BELL,15000,2100,6922,483,7405,207
29,ZAX BY'S,2520,2720,797,145,942,20
5,WENDY'S,12285,2060,5627,403,6030,36
30,HARDEE'S,1981,1160,1512,195,1707,-45
6,DUNKIN',11918,1300,9548,32,9580,210
31,BOJANGLES,1781,2269,528,285,813,25
7,BURGER KING,10957,1642,6640,138,6778,-264
32,CARL'S JR,1546,1450,1018,48,1066,-2
8,SUBWAY,9925,493,20133,0,20133,-443
33,DUTCH BROS,1444,1973,289,542,831,160
34,TROPICAL SMOOTHIE CAFE,1253,980,1371,1,1372,174
9,CHIPOTLE,9872,3018,0,3437,3437,271
19,DOMINO'S,9026,1317,6566,288,6854,168
35,IN-N-OUT BURGER,1246,3130,0,398,398,19
11,PANERA BREAD,7157,3300,1193,976,2169,48
36,SHAKE SHACK,1199,3900,39,295,334,47
12,PANDA EXPRESS,5885,2551,172,2248,2420,62
37,QDOBA,1154,1540,587,164,751,21
38,FIREHOUSE SUBS,1138,963,1170,39,1209,22
13,PIZZA HUT,5600,1015,6586,7,6593,32
39,EL POLLO LOCO,1050,2200,172,323,495,5
14,SONIC DRIVE-IN,5534,1600,3195,326,3521,-25
40,MARCO'S PIZZA,1041,943,1101,43,1144,77
15,POPEYES LOUISIANA KITCHEN,5511,1897,3035,41,3076,130
41,McALISTER'S DELI,1022,1968,506,33,539,14
18,KFC,5200,1386,3745,46,3791,-127
43,FREDDY'S FROZEN CUSTARD & STEAK BURGERS,925,1898,482,33,515,59
17,DAIRY QUEEN,4968,1168,4252,2,4254,-53
18,ARBY'S,4617,1400,2316,1097,3413,-2
44,CHECKERS/RALLY'S,883,1100,546,238,784,-27
19,JACK IN THE BOX,4355,2032,2043,142,2185,5
45,CHURCH'S CHICKEN,803,1009,633,156,789,-23
20,PAPA JOHNS,3846,1231,2689,531,3220,40
46,AUNTIE ANNE'S,762,769,1187,11,1198,19
21,WHATABURGER,3769,3962,171,826,997,72
47,PAPA MURPHY'S,758,667,1119,8,1127,-41
48,TIM HORTONS,751,1264,642,0,642,6
23,WINGSTOP,3482,1827,1877,49,1926,205
49,MOE'S,731,1226,606,6,612,-25
24,LITTLE CAESARS,3365,998,3642,575,4217,44
25,JERSEY MIKE'S,3342,1300,2665,19,2684,287
50,SMOOTHIE KING,722,661,1093,59,1152,49
